randomness parameter value;Pairing;Smooth;Slim
randomness parameter value;21;22;23
0.05;11.295882352941176;9.018431372549019;9.774705882352942
0.1;12.4409900990099;10.034554455445546;11.043267326732675
0.15000000000000002;13.17291390728477;10.625629139072847;11.82185430463576
0.2;13.344228855721392;11.026268656716418;12.359104477611941
0.25;14.197968127490043;11.36972111553785;12.744541832669324
0.30000000000000004;14.620564784053155;11.64970099667774;13.143023255813956
0.35000000000000003;14.793931623931623;11.838404558404559;13.419287749287752
0.4;14.86875311720698;12.030573566084788;13.6901246882793
0.45;14.973281596452328;12.200576496674056;13.90419068736142
0.5;15.278443113772456;12.346467065868264;14.113612774451097
0.55;15.462232304900184;12.477531760435571;14.283157894736842
0.6000000000000001;15.659317803660567;12.599217970049915;14.466988352745421
0.65;15.801643625192014;12.71179723502304;14.61820276497696
0.7000000000000001;15.792710413694719;12.810756062767476;14.758630527817404
0.75;15.977483355525965;12.918588548601864;14.898814913448732
0.8;16.029737827715355;12.99980024968789;15.011123595505616
0.8500000000000001;16.176839012925967;13.07427732079906;15.142702702702705
0.9;16.44336293007769;13.164228634850167;15.25294117647059
0.9500000000000001;16.198611987381707;13.242754994742377;15.364563617245006
1.0;16.352507492507492;13.307212787212787;15.458991008991006
